id_jadwal,nama_kereta,nomor_kereta,stasiun_asal,stasiun_tujuan,tanggal_berangkat,jam_berangkat,jam_tiba,kelas,harga_tiket,status
JKA02270,Argo Parahyangan,KA425,Purwokerto,Bandung,2024-12-27,06:10:00,17:20:00,Bisnis,101442,Dibatalkan
JKA02003,Argo Parahyangan,KA844,Surabaya Pasarturi,Bandung,2024-06-24,10:10:00,18:10:00,Eksekutif,251354,Waiting
JKA02944,Argo Parahyangan,KA324,Surabaya Pasarturi,Bandung,2025-01-16,15:45:00,21:10:00,Bisnis,53795,Tepat Waktu
JKA01137,Argo Parahyangan,KA444,Yogyakarta,Bandung,2025-05-17,03:20:00,10:30:00,Ekonomi,79058,Tepat Waktu
JKA01810,Argo Parahyangan,KA464,Madiun,Bandung,2024-06-12,17:15:00,18:05:00,Bisnis,54697,Terlambat
JKA01778,Argo Parahyangan,KA731,Cirebon,Bandung,2024-09-17,13:25:00,16:20:00,Eksekutif,45658,Dibatalkan
JKA00166,Argo Parahyangan,KA709,Cirebon,Bandung,2025-04-06,21:45:00,15:00:00,Ekonomi,304586,Terlambat
JKA00796,Bengawan,KA570,Pasar Senen,Bandung,2024-03-31,12:35:00,04:45:00,Ekonomi,252479,Terlambat
JKA02591,Bima,KA28,Solo Balapan,Bandung,2025-06-13,21:45:00,12:00:00,Eksekutif,747449,Dibatalkan
JKA00471,Bengawan,KA848,Surabaya Gubeng,Bandung,2025-01-16,01:15:00,20:35:00,UNKNOWN,395553,Dibatalkan
JKA01880,Bengawan,KA31,Jember,Bandung,2024-04-03,14:05:00,19:55:00,Bisnis,295420,Terlambat
JKA00965,Bengawan,KA677,Jakarta Kota,Bandung,2025-04-10,12:10:00,19:30:00,Bisnis,199901,Tepat Waktu
JKA01957,Bengawan,UNKNOWN,Pasar Senen,Bandung,2025-04-09,13:15:00,04:05:00,Bisnis,302929,Tepat Waktu
JKA01737,Bengawan,KA568,Surabaya Gubeng,Bandung,2025-02-10,22:55:00,03:35:00,Ekonomi,50595,Terlambat
JKA00062,Bima,KA693,Kediri,Bandung,2025-06-03,21:25:00,19:30:00,Bisnis,97712,Dibatalkan
JKA00801,Bima,KA11,Surabaya Pasarturi,Bandung,2024-10-11,15:20:00,23:10:00,Eksekutif,300896,Waiting
JKA00840,Bima,KA424,Malang,Bandung,2025-08-18,02:35:00,05:50:00,Ekonomi,51116,Waiting
JKA00875,Brantas,KA962,Madiun,Bandung,2025-07-07,21:40:00,09:10:00,Eksekutif,203431,Waiting
JKA02300,Brantas,KA912,Jakarta Kota,Bandung,2025-07-18,16:05:00,01:05:00,Eksekutif,47156,Terlambat
JKA00663,Brantas,KA254,Yogyakarta,Bandung,2024-04-06,03:35:00,15:25:00,Ekonomi,74330,Waiting
JKA00238,Brantas,KA914,Surabaya Pasarturi,Bandung,2024-01-16,06:40:00,17:25:00,Bisnis,204405,Terlambat
JKA02066,Brantas,KA81,Pasar Senen,Bandung,2024-01-09,21:25:00,10:25:00,Bisnis,751310,Tepat Waktu
JKA00257,Brantas,KA399,Pasar Senen,Bandung,2025-01-02,02:50:00,23:15:00,Eksekutif,145415,Tepat Waktu
JKA02237,Gajayana,KA951,Jakarta Kota,Bandung,2024-06-07,15:25:00,01:00:00,Ekonomi,746325,Dibatalkan
JKA00300,Gajayana,KA4,Jember,Bandung,2024-12-26,19:55:00,14:55:00,Eksekutif,48010,Terlambat
JKA00779,Gajayana,KA447,Madiun,Bandung,2024-05-21,09:30:00,02:05:00,Ekonomi,79970,Terlambat
JKA00110,Gajayana,KA574,Semarang Tawang,Bandung,2024-11-03,22:05:00,10:50:00,Bisnis,98996,Dibatalkan
JKA02123,Gajayana,KA651,Jakarta Kota,Bandung,2025-06-28,02:30:00,13:50:00,Ekonomi,98600,Tepat Waktu
JKA00614,Gajayana,KA960,Jember,Bandung,2025-08-12,08:40:00,23:15:00,Eksekutif,75332,Terlambat
JKA00546,Gajayana,KA145,Jakarta Kota,Bandung,2025-03-20,07:55:00,20:50:00,Eksekutif,49500,Waiting
JKA01553,Gaya Baru Malam,KA650,Malang,Bandung,2024-02-27,06:40:00,06:00:00,Eksekutif,745710,Terlambat
JKA01290,Gaya Baru Malam,KA767,Kediri,Bandung,2024-12-22,05:05:00,06:30:00,Eksekutif,53421,Waiting
JKA01017,Gaya Baru Malam,KA556,Malang,Bandung,2025-04-06,04:10:00,15:50:00,Eksekutif,300183,Waiting
JKA00674,Gaya Baru Malam,KA303,Madiun,Bandung,2025-08-08,21:20:00,05:10:00,Bisnis,47939,Terlambat
JKA01316,Gaya Baru Malam,KA330,Pasar Senen,Bandung,2024-04-02,22:40:00,22:05:00,Eksekutif,303383,Waiting
JKA01455,Gaya Baru Malam,KA18,Yogyakarta,Bandung,2025-06-19,12:35:00,05:15:00,Eksekutif,154410,Terlambat
JKA01787,Gaya Baru Malam,KA633,Jakarta Kota,Bandung,2024-10-05,11:35:00,01:10:00,Bisnis,46401,Dibatalkan
JKA02958,Gaya Baru Malam,KA540,Surabaya Pasarturi,Bandung,2024-02-27,19:50:00,00:35:00,Ekonomi,752108,Waiting
JKA00047,Gaya Baru Malam,KA250,Semarang Tawang,Bandung,2025-01-11,01:30:00,06:05:00,Eksekutif,154783,Dibatalkan
JKA02201,Gaya Baru Malam,KA880,Surabaya Pasarturi,Bandung,2024-10-27,23:25:00,16:15:00,Eksekutif,148287,Terlambat
JKA00747,Gaya Baru Malam,KA630,Yogyakarta,Bandung,2024-04-01,01:10:00,20:50:00,Eksekutif,496371,Waiting
JKA02416,Gaya Baru Malam,KA213,Solo Balapan,Bandung,2024-05-15,23:45:00,10:20:00,Bisnis,100489,Waiting
JKA02210,Harina,KA559,Semarang Tawang,Bandung,2024-07-31,21:30:00,01:40:00,Ekonomi,304218,Terlambat
JKA01253,Harina,KA791,Jakarta Kota,Bandung,2024-07-07,02:50:00,16:45:00,Eksekutif,196675,Waiting
JKA01170,Harina,KA94,Jakarta Kota,Bandung,2025-01-20,11:45:00,06:40:00,Eksekutif,79627,Waiting
JKA02473,Harina,KA154,Pasar Senen,Bandung,2024-12-18,05:30:00,19:45:00,Ekonomi,51020,Terlambat
JKA01904,Harina,KA256,Cirebon,Bandung,2025-04-27,05:50:00,05:15:00,Bisnis,152232,Tepat Waktu
JKA01404,Harina,KA223,Purwokerto,Bandung,2025-06-27,15:40:00,01:55:00,Eksekutif,254382,Dibatalkan
JKA00403,Harina,KA996,Madiun,Bandung,2025-03-22,15:30:00,05:45:00,Bisnis,99745,Waiting
JKA01468,Harina,KA383,Purwokerto,Bandung,2024-09-08,17:15:00,10:50:00,Ekonomi,103447,Tepat Waktu
JKA02187,Harina,KA280,Gambir,Bandung,2024-11-14,03:05:00,23:40:00,Bisnis,297519,Terlambat
JKA01713,Harina,KA253,Cirebon,Bandung,2025-08-08,08:20:00,09:30:00,Eksekutif,396689,Terlambat
JKA02027,Harina,KA46,Semarang Tawang,Bandung,2024-11-19,08:50:00,09:15:00,Eksekutif,53488,Terlambat
JKA01490,Harina,KA11,Pasar Senen,Bandung,2024-01-27,15:20:00,03:50:00,Eksekutif,298758,Waiting
JKA00818,Harina,KA783,Solo Balapan,Bandung,2025-06-03,01:35:00,02:00:00,Eksekutif,498070,Tepat Waktu
JKA02204,Joglosemarkerto,KA647,Pasar Senen,Bandung,2025-07-19,00:40:00,03:30:00,Ekonomi,496994,Terlambat
JKA02972,Jayabaya,KA147,Semarang Tawang,Bandung,2025-08-11,06:50:00,20:00:00,UNKNOWN,753475,Tepat Waktu
JKA01336,Jayabaya,KA42,Kediri,Bandung,2025-02-07,03:05:00,02:20:00,Eksekutif,199847,Terlambat
JKA02450,Jayabaya,KA637,Jember,Bandung,2025-07-08,22:25:00,07:10:00,Bisnis,747181,Tepat Waktu
JKA00203,Jayabaya,KA467,Surabaya Pasarturi,Bandung,2025-03-08,16:45:00,09:50:00,UNKNOWN,146121,Waiting
JKA02751,Jayabaya,KA694,Gambir,Bandung,2024-11-04,12:40:00,12:15:00,Ekonomi,751416,Tepat Waktu
JKA01028,Jayabaya,KA526,Purwokerto,Bandung,2025-05-13,23:45:00,13:05:00,Eksekutif,245215,Tepat Waktu
JKA02068,Joglosemarkerto,KA24,Jakarta Kota,Bandung,2024-05-14,12:30:00,16:05:00,Eksekutif,71053,Waiting
JKA00635,Joglosemarkerto,KA320,Yogyakarta,Bandung,2025-07-20,08:05:00,14:10:00,Bisnis,299563,Tepat Waktu
JKA00055,Joglosemarkerto,UNKNOWN,Semarang Tawang,Bandung,2024-01-08,23:30:00,04:30:00,Ekonomi,500802,Tepat Waktu
JKA00462,Joglosemarkerto,KA31,Surabaya Gubeng,Bandung,2024-06-27,13:05:00,19:20:00,Eksekutif,77234,Waiting
JKA01959,Joglosemarkerto,KA904,Semarang Tawang,Bandung,2025-02-01,01:15:00,21:50:00,Bisnis,395493,Tepat Waktu
JKA02405,Joglosemarkerto,KA522,Surabaya Gubeng,Bandung,2024-03-20,12:20:00,10:30:00,Eksekutif,502548,Waiting
JKA02517,Joglosemarkerto,KA150,Surabaya Pasarturi,Bandung,2024-06-28,04:15:00,18:30:00,Ekonomi,748346,Tepat Waktu
JKA00562,Joglosemarkerto,KA937,Gambir,Bandung,2024-07-13,16:55:00,17:40:00,Eksekutif,746244,Terlambat
JKA00916,Joglosemarkerto,KA724,Surabaya Pasarturi,Bandung,2025-08-18,20:35:00,11:00:00,Eksekutif,152168,Terlambat
JKA00901,Kertajaya,KA345,Jakarta Kota,Bandung,2025-01-28,07:10:00,06:35:00,Bisnis,745732,Waiting
JKA02414,Kahuripan,KA696,Jakarta Kota,Bandung,2024-03-19,01:55:00,21:35:00,Ekonomi,97375,Dibatalkan
JKA00185,Kahuripan,KA771,Yogyakarta,Bandung,2024-01-17,16:40:00,04:45:00,Bisnis,404827,Terlambat
JKA02117,Kahuripan,KA507,Pasar Senen,Bandung,2024-12-30,09:55:00,18:30:00,Eksekutif,297408,Dibatalkan
JKA00126,Kahuripan,KA37,Kediri,Bandung,2025-08-10,07:55:00,01:00:00,Eksekutif,400963,Waiting
JKA01197,Kahuripan,KA43,Madiun,Bandung,2024-09-17,21:45:00,23:55:00,Ekonomi,79109,Dibatalkan
JKA01720,Kahuripan,KA210,Malang,Bandung,2025-05-05,00:30:00,18:00:00,Ekonomi,145546,Terlambat
JKA02785,Kahuripan,KA889,Yogyakarta,Bandung,2024-05-03,12:10:00,03:05:00,Eksekutif,251043,Tepat Waktu
JKA00766,Kaligung,KA783,Pasar Senen,Bandung,2024-04-24,06:10:00,09:40:00,Bisnis,746390,Tepat Waktu
JKA01564,Kaligung,KA221,Cirebon,Bandung,2024-05-18,15:35:00,20:45:00,Eksekutif,97620,Waiting
JKA01075,Kaligung,KA701,Surabaya Gubeng,Bandung,2024-04-26,15:50:00,00:30:00,Bisnis,298350,Terlambat
JKA02816,Kaligung,KA995,Malang,Bandung,2025-05-30,02:05:00,21:35:00,Eksekutif,76288,Terlambat
JKA02317,Kaligung,KA221,Pasar Senen,Bandung,2024-11-14,09:30:00,09:35:00,Bisnis,150860,Terlambat
JKA02019,Kertajaya,KA437,Jember,Bandung,2024-03-26,10:05:00,18:50:00,Bisnis,397431,Waiting
JKA00631,Kertajaya,KA287,Yogyakarta,Bandung,2025-08-07,15:05:00,07:30:00,Bisnis,404987,Terlambat
JKA00408,Kertajaya,UNKNOWN,Yogyakarta,Bandung,2025-03-12,14:50:00,03:55:00,Bisnis,54884,Tepat Waktu
JKA00701,Kertajaya,KA83,Gambir,Bandung,2025-01-31,02:05:00,19:25:00,Eksekutif,76147,Dibatalkan
JKA00095,Kertajaya,KA780,Purwokerto,Bandung,2025-04-05,02:40:00,01:20:00,Bisnis,754878,Waiting
JKA02645,Kertajaya,UNKNOWN,Jember,Bandung,2025-01-12,09:05:00,19:20:00,Eksekutif,203349,Dibatalkan
JKA02819,Lodaya,KA987,Jember,Bandung,2024-11-15,20:15:00,21:20:00,Eksekutif,148322,Terlambat
JKA01004,Lodaya,KA5,Solo Balapan,Bandung,2024-05-13,05:55:00,21:05:00,Ekonomi,204214,Tepat Waktu
JKA02997,Lodaya,UNKNOWN,Purwokerto,Bandung,2024-11-29,00:45:00,22:50:00,Eksekutif,149120,Waiting
JKA02047,Lodaya,KA174,Surabaya Gubeng,Bandung,2024-10-25,22:50:00,02:45:00,Eksekutif,301805,Tepat Waktu
JKA00291,Lodaya,KA21,Cirebon,Bandung,2024-03-08,03:25:00,00:40:00,Eksekutif,401921,Dibatalkan
JKA01138,Lodaya,KA936,Jakarta Kota,Bandung,2024-06-21,11:25:00,05:55:00,Eksekutif,304776,Tepat Waktu
JKA01463,Malabar,KA822,Jember,Bandung,2025-04-23,01:15:00,15:55:00,Bisnis,,Waiting
JKA00262,Mutiara Selatan,KA992,Surabaya Gubeng,Bandung,2025-06-26,19:25:00,14:50:00,Ekonomi,48173,Waiting
JKA02666,Malabar,KA364,Cirebon,Bandung,2024-09-12,02:00:00,11:10:00,Bisnis,78702,Terlambat
JKA02387,Malabar,KA679,Malang,Bandung,2025-01-17,07:30:00,16:55:00,Bisnis,397061,Waiting
JKA00590,Malabar,KA885,Purwokerto,Bandung,2024-11-22,00:10:00,07:05:00,Ekonomi,72523,Tepat Waktu
JKA01934,Malabar,KA940,Surabaya Pasarturi,Bandung,2024-05-15,20:35:00,05:00:00,Eksekutif,72893,Dibatalkan
JKA00835,Malabar,KA35,Surabaya Gubeng,Bandung,2024-03-15,17:40:00,01:15:00,Bisnis,151674,Terlambat
JKA00894,Malabar,KA231,Malang,Bandung,2025-08-06,17:05:00,00:35:00,Ekonomi,151669,Waiting
JKA00509,Matarmaja,KA409,Pasar Senen,Bandung,2024-07-10,09:10:00,17:10:00,Eksekutif,752478,Waiting
JKA00718,Matarmaja,KA37,Jember,Bandung,2024-08-31,14:25:00,00:45:00,Eksekutif,96787,Tepat Waktu
JKA01727,Matarmaja,KA510,Semarang Tawang,Bandung,2024-11-04,21:45:00,03:55:00,Eksekutif,754495,Tepat Waktu
JKA00383,Matarmaja,KA122,Gambir,Bandung,2024-12-30,05:00:00,16:50:00,Ekonomi,297434,Tepat Waktu
JKA00087,Matarmaja,UNKNOWN,Purwokerto,Bandung,2024-07-08,15:25:00,00:20:00,Bisnis,399374,Waiting
JKA02232,Matarmaja,KA799,Solo Balapan,Bandung,2024-02-26,07:10:00,17:55:00,Eksekutif,151382,Dibatalkan
JKA02284,Matarmaja,KA844,Semarang Tawang,Bandung,2024-11-04,05:10:00,06:10:00,Bisnis,150059,Terlambat
JKA02147,Matarmaja,KA100,Malang,Bandung,2024-02-05,04:50:00,19:45:00,Eksekutif,103375,Waiting
JKA01466,Matarmaja,KA885,Jember,Bandung,2025-07-18,23:05:00,23:35:00,Ekonomi,399622,Dibatalkan
JKA02287,Mutiara Selatan,KA980,Madiun,Bandung,2024-07-10,08:50:00,09:15:00,Eksekutif,303350,Terlambat
JKA00665,Mutiara Selatan,KA657,Pasar Senen,Bandung,2025-03-06,20:45:00,00:05:00,Ekonomi,149144,Waiting
JKA02360,Mutiara Selatan,KA798,Madiun,Bandung,2024-07-08,16:15:00,16:10:00,Ekonomi,296987,Waiting
JKA02631,Mutiara Selatan,KA350,Surabaya Gubeng,Bandung,2025-03-05,22:25:00,12:20:00,Bisnis,745309,Dibatalkan
JKA00648,Mutiara Selatan,KA67,Cirebon,Bandung,2024-02-10,06:10:00,15:05:00,Ekonomi,203619,Terlambat
JKA01551,Mutiara Selatan,KA855,Madiun,Bandung,2025-03-07,05:00:00,20:55:00,Ekonomi,,Dibatalkan
JKA00921,Mutiara Selatan,KA616,Madiun,Bandung,2025-07-05,18:10:00,17:20:00,Bisnis,45167,Waiting
JKA02050,Mutiara Selatan,UNKNOWN,Kediri,Bandung,2024-03-08,10:40:00,05:05:00,Eksekutif,750459,Terlambat
JKA02688,Mutiara Selatan,KA792,Cirebon,Bandung,2025-03-22,06:20:00,20:05:00,Bisnis,71626,Terlambat
JKA00540,Mutiara Selatan,KA266,Kediri,Bandung,2024-11-17,14:55:00,05:25:00,Bisnis,400934,Waiting
JKA02077,Mutiara Selatan,KA540,Pasar Senen,Bandung,2025-03-17,23:45:00,09:50:00,Eksekutif,752971,Terlambat
JKA02289,Mutiara Selatan,KA154,Semarang Tawang,Bandung,2024-11-11,11:30:00,13:55:00,Eksekutif,153924,Waiting
JKA01965,Pasundan,KA658,Kediri,Bandung,2025-02-26,02:35:00,02:35:00,Bisnis,247352,Waiting
JKA00424,Pasundan,KA959,Malang,Bandung,2024-10-12,01:40:00,15:10:00,Ekonomi,745513,Tepat Waktu
JKA02979,Pasundan,KA6,Surabaya Pasarturi,Bandung,2024-10-04,15:35:00,10:45:00,Eksekutif,503785,Waiting
JKA01227,Pasundan,KA509,Malang,Bandung,2024-10-01,16:55:00,19:50:00,Eksekutif,75979,Tepat Waktu
JKA00157,Pasundan,UNKNOWN,Purwokerto,Bandung,2024-01-21,22:05:00,14:30:00,Ekonomi,202772,Waiting
JKA00031,Progo,KA536,Malang,Bandung,2025-08-13,04:10:00,02:15:00,Ekonomi,304933,Waiting
JKA01798,Progo,KA103,Cirebon,Bandung,2024-02-23,00:35:00,22:10:00,Eksekutif,751240,Dibatalkan
JKA01393,Progo,KA87,Solo Balapan,Bandung,2025-04-25,21:55:00,16:25:00,Bisnis,297121,Tepat Waktu
JKA02307,Progo,KA806,Surabaya Gubeng,Bandung,2024-01-30,14:00:00,13:40:00,Bisnis,397198,Dibatalkan
JKA02571,Sembrani,KA748,Cirebon,Bandung,2024-05-25,15:45:00,10:15:00,Ekonomi,78307,Terlambat
JKA00212,Sancaka,KA454,Madiun,Bandung,2025-08-13,21:35:00,03:10:00,Ekonomi,303268,Terlambat
JKA02773,Sancaka,KA491,Yogyakarta,Bandung,2024-10-02,12:05:00,22:05:00,Bisnis,,Terlambat
JKA01744,Sancaka,KA615,Gambir,Bandung,2024-10-30,17:50:00,15:25:00,Bisnis,78288,Dibatalkan
JKA01203,Sancaka,KA387,Solo Balapan,Bandung,2024-04-20,20:40:00,10:45:00,Eksekutif,252397,Dibatalkan
JKA00223,Sancaka,KA190,Madiun,Bandung,2024-07-07,04:55:00,10:30:00,Ekonomi,399485,Terlambat
JKA02476,Sancaka,KA4,Jakarta Kota,Bandung,2025-04-22,16:55:00,08:20:00,Eksekutif,103096,Dibatalkan
JKA02418,Sancaka,KA401,Jakarta Kota,Bandung,2025-06-06,23:25:00,14:15:00,Ekonomi,,Tepat Waktu
JKA02912,Sancaka,KA264,Surabaya Gubeng,Bandung,2024-03-08,05:15:00,02:25:00,Eksekutif,752407,Tepat Waktu
JKA02896,Sancaka,KA672,Jember,Bandung,2024-08-28,04:50:00,05:00:00,Eksekutif,248724,Tepat Waktu
JKA02173,Sancaka,KA296,Solo Balapan,Bandung,2024-08-14,02:20:00,13:20:00,Ekonomi,397583,Waiting
JKA01813,Sembrani,KA881,Cirebon,Bandung,2024-11-21,12:35:00,02:30:00,Bisnis,751649,Terlambat
JKA01554,Sembrani,KA189,Solo Balapan,Bandung,2025-05-05,17:50:00,14:50:00,Bisnis,199492,Terlambat
JKA01941,Sembrani,KA451,Semarang Tawang,Bandung,2024-05-14,12:45:00,21:50:00,Eksekutif,75714,Waiting
JKA01006,Sembrani,KA614,Surabaya Pasarturi,Bandung,2025-02-01,12:55:00,23:15:00,Ekonomi,251566,Waiting
JKA01691,Sembrani,KA500,Madiun,Bandung,2024-04-27,23:35:00,07:50:00,Bisnis,46431,Tepat Waktu
JKA00112,Sembrani,KA313,Cirebon,Bandung,2024-12-22,14:45:00,21:55:00,Ekonomi,746388,Terlambat
JKA01478,Sembrani,KA338,Pasar Senen,Bandung,2024-12-02,22:25:00,14:50:00,Bisnis,252756,Waiting
JKA00421,Serayu,KA791,Pasar Senen,Bandung,2025-05-25,14:25:00,09:10:00,Ekonomi,750952,Waiting
JKA01748,Serayu,KA682,Gambir,Bandung,2025-05-01,22:35:00,19:45:00,Ekonomi,399096,Terlambat
JKA01325,Serayu,KA514,Yogyakarta,Bandung,2024-06-24,13:45:00,10:45:00,Eksekutif,754924,Terlambat
JKA02229,Serayu,KA751,Jember,Bandung,2025-01-22,05:55:00,07:25:00,Eksekutif,748860,Terlambat
JKA02893,Tawang Jaya,KA114,Madiun,Bandung,2025-03-21,08:30:00,16:00:00,Eksekutif,304089,Dibatalkan
JKA01376,Taksaka,KA424,Kediri,Bandung,2025-08-17,01:45:00,09:40:00,Eksekutif,52247,Terlambat
JKA00956,Taksaka,KA316,Madiun,Bandung,2025-06-15,16:55:00,01:10:00,Eksekutif,104451,Terlambat
JKA02313,Taksaka,KA423,Pasar Senen,Bandung,2025-06-12,16:30:00,16:40:00,Eksekutif,101693,Tepat Waktu
JKA00823,Taksaka,KA94,Purwokerto,Bandung,2025-01-12,13:55:00,02:05:00,Ekonomi,,Waiting
JKA01984,Taksaka,KA253,Purwokerto,Bandung,2024-07-21,11:50:00,10:45:00,Bisnis,104418,Terlambat
JKA02477,Taksaka,KA930,Cirebon,Bandung,2025-01-05,11:15:00,10:45:00,Eksekutif,79704,Tepat Waktu
JKA02848,Taksaka,KA513,Solo Balapan,Bandung,2024-02-04,05:00:00,00:35:00,UNKNOWN,248834,Waiting
JKA01027,Taksaka,KA299,Semarang Tawang,Bandung,2025-07-17,20:55:00,17:15:00,Eksekutif,295392,Dibatalkan
JKA00247,Tawang Jaya,KA320,Madiun,Bandung,2024-05-25,14:40:00,16:45:00,Bisnis,396279,Waiting
JKA02398,Tawang Jaya,KA881,Jember,Bandung,2024-03-27,05:55:00,14:30:00,Ekonomi,,Terlambat
JKA00594,Tawang Jaya,KA321,Purwokerto,Bandung,2024-11-22,22:50:00,18:20:00,Eksekutif,252871,Tepat Waktu
JKA00565,Tawang Jaya,KA472,Yogyakarta,Bandung,2025-06-03,17:25:00,19:15:00,Bisnis,498669,Tepat Waktu
JKA02992,Tawang Jaya,KA623,Semarang Tawang,Bandung,2025-01-19,19:20:00,10:15:00,Eksekutif,747493,Tepat Waktu
JKA02537,Tawang Jaya,KA283,Jember,Bandung,2025-01-03,07:25:00,13:10:00,Ekonomi,495547,Terlambat
JKA01881,Turangga,KA78,Kediri,Bandung,2024-07-22,13:55:00,15:30:00,Eksekutif,498664,Terlambat
JKA00444,Turangga,KA395,Malang,Bandung,2024-12-14,18:40:00,09:55:00,Bisnis,103265,Dibatalkan
JKA01905,Turangga,KA262,Madiun,Bandung,2025-03-23,13:05:00,03:55:00,Eksekutif,,Terlambat
JKA01283,UNKNOWN,KA745,Kediri,Cirebon,2024-05-24,19:05:00,22:30:00,Eksekutif,301984,Waiting
JKA00772,UNKNOWN,KA236,Pasar Senen,Cirebon,2024-08-03,16:40:00,22:45:00,Bisnis,96984,Terlambat
JKA02465,UNKNOWN,KA13,Semarang Tawang,Cirebon,2024-09-11,21:10:00,15:10:00,Ekonomi,204340,Waiting
JKA00338,UNKNOWN,KA197,Madiun,Cirebon,2025-08-01,02:45:00,23:05:00,Ekonomi,748734,Dibatalkan
JKA01289,UNKNOWN,KA90,Malang,Cirebon,2025-07-15,00:55:00,10:35:00,Bisnis,399097,Tepat Waktu
JKA00080,UNKNOWN,KA894,Surabaya Pasarturi,Cirebon,2024-12-10,22:45:00,15:00:00,Ekonomi,76824,Waiting
JKA00305,Argo Parahyangan,KA899,Jember,Cirebon,2025-01-25,12:50:00,04:40:00,Ekonomi,99264,Dibatalkan
JKA01166,Lodaya,KA260,Yogyakarta,Cirebon,2024-07-09,13:20:00,10:20:00,Bisnis,153765,Tepat Waktu
JKA02784,Lodaya,KA852,Surabaya Pasarturi,Cirebon,2024-11-24,00:45:00,14:40:00,Bisnis,196100,Terlambat
JKA02126,Argo Parahyangan,KA736,Surabaya Gubeng,Cirebon,2025-01-08,04:40:00,19:15:00,Bisnis,,Waiting
JKA01284,Argo Bromo Anggrek,KA417,Surabaya Pasarturi,Cirebon,2025-04-20,00:50:00,09:55:00,Ekonomi,46635,Tepat Waktu
JKA02672,Argo Bromo Anggrek,KA82,Kediri,Cirebon,2025-02-11,22:45:00,20:45:00,Ekonomi,504692,Waiting
JKA00159,Argo Bromo Anggrek,KA52,Jakarta Kota,Cirebon,2025-05-20,02:40:00,23:55:00,Ekonomi,152483,Waiting
JKA00836,Argo Bromo Anggrek,KA983,Madiun,Cirebon,2025-03-01,17:00:00,17:50:00,Bisnis,104323,Terlambat
JKA02526,Argo Parahyangan,KA296,Bandung,Cirebon,2024-10-22,13:05:00,17:05:00,Bisnis,70191,Terlambat
JKA00682,Argo Parahyangan,KA472,Kediri,Cirebon,2025-01-19,17:55:00,20:35:00,Eksekutif,148938,Waiting
JKA00518,Argo Parahyangan,KA669,Yogyakarta,Cirebon,2024-04-13,16:55:00,10:50:00,Eksekutif,295366,Waiting
JKA01971,Argo Parahyangan,KA560,Semarang Tawang,Cirebon,2025-07-10,21:05:00,00:55:00,Eksekutif,50442,Terlambat
JKA00239,Argo Parahyangan,KA480,Madiun,Cirebon,2025-04-01,09:25:00,22:50:00,Eksekutif,404302,Waiting
JKA02915,Argo Parahyangan,KA795,Jakarta Kota,Cirebon,2025-07-11,04:45:00,08:00:00,Eksekutif,297831,Tepat Waktu
