id_jadwal,nama_kereta,nomor_kereta,stasiun_asal,stasiun_tujuan,tanggal_berangkat,jam_berangkat,jam_tiba,kelas,harga_tiket,status
JKA02456,TURANGGA,KA751,Surabaya Gubeng,Kediri,2024-01-03,02:00,01:35:00,EKONOMI,146915,Terlambat
JKA00240,Bima,KA175,Pasar Senen,Semarang Tawang,05/02/2025,22.50,10:35:00,Eksekutif,77787,
JKA02119,Gajayana,KA143,Malang,Yogyakarta,21-08-2024,13.05,23.00,Eksekutif,78176,Terlambat
JKA00744,Argo Parahyangan,KA725,Malang,Bandung,2024-09-15,00.55,18:15, Eksekutif,749416,
JKA02062,,KA510,Bandung,Pasar Senen,02/08/2025,11:15,20:00,EKONOMI,746205,tepat waktu
JKA00889,Kaligung,KA381,Yogyakarta,Gambir,01-10-2024,02:00,22:55:00,Bisnis ,749458,Dibatalkan
JKA02684,Sancaka,KA558,Solo Balapan,Surabaya Pasarturi,18-06-2024,00:20:00,08:35,Bisnis ,399795,
JKA01641,SERAYU,KA568,Yogyakarta,Jakarta Kota,05 Jan 2025,05.40,12:35,eksekutif,146278,
JKA00678,Sembrani,KA433,Surabaya Pasarturi,Semarang Tawang,16/07/2025,05:00:00,15:15, Eksekutif,146464,Tepat Waktu
JKA00874,Mutiara Selatan,KA115,Yogyakarta,Cirebon,12-08-2025,12:50:00,08:25,N/A,Rp754.422,Tepat Waktu
JKA01540,LODAYA,KA365,Bandung,Pasar Senen,24-04-2024,21:00:00,11.20,Ekonomi,503161,Dibatalkan
JKA01057,Progo,KA109,Madiun,Malang,20-08-2025,16.40,13.30,EKONOMI,754795,Dibatalkan
JKA02556,Bengawan,KA719,Pasar Senen,Yogyakarta,23 Feb 2025,1:05,13:05,eksekutif,302197,Tepat Waktu
JKA00555,Taksaka,KA915,Yogyakarta,Malang,13/06/2024,12:10:00,12:45,Bisnis,246155,Terlambat
JKA01715,Turangga,KA830,Surabaya Gubeng,Gambir,25 Apr 2025,7:45,13:30:00,Eksekutif,753184,
JKA01224,MUTIARA SELATAN,KA962,Surabaya Gubeng,Kediri,2024-07-06,15:00,10:05,none,502989,Terlambat
JKA01949,Matarmaja,KA770,Gambir,Malang,09/08/2025,11:10:00,10.30,Bisnis,53908,
JKA00190,Turangga,KA416,Jember,Madiun,25/08/2024,21.00,07:50,Bisnis,74520,tepat waktu
JKA00914,Tawang Jaya,KA108,Madiun,Jember,2025-03-10,7:35,03:55:00,Eksekutif,48319,Terlambat
JKA01706,Bengawan,KA570,Malang,Semarang Tawang,16-02-2025,11.00,17:05,Ekonomi,495172,-
JKA02246,,KA944,Purwokerto,Pasar Senen,2025-07-19,07:15,19:40,Eksekutif,201061,TERLAMBAT
JKA02863,Gajayana,KA454,Surabaya Pasarturi,Solo Balapan,09 Mar 2025,11.30,17:20,Ekonomi,104490,
JKA02574,Kertajaya,KA154,Malang,Surabaya Gubeng,22-06-2024,02.55,03:25:00,Eksekutif,398111,Terlambat
JKA00646,Joglosemarkerto,KA603,Solo Balapan,Jakarta Kota,18/03/2025,13:35,10:25,Ekonomi,152971,tepat waktu
JKA02379,Bima,,Jakarta Kota,Jember,13 Oct 2024,11:45,08:20:00,Ekonomi,77254,Dibatalkan
JKA02954,Serayu,,Gambir,Madiun,24/02/2025,19:50,18.55,Bisnis ,296498,
JKA01327,Tawang Jaya,KA449,Malang,Yogyakarta,25 Jun 2025,23:30,23:15,Eksekutif,502915,
JKA01963,Pasundan,KA357,Jember,Surabaya Gubeng,05 Nov 2024,0:45,18:25,eksekutif,Rp104.177,Dibatalkan
JKA00437,Kaligung,KA260,Solo Balapan,Cirebon,05-10-2024,19:05:00,13.15,Ekonomi,Rp77.363,TERLAMBAT
JKA02584,Bima,KA847,Yogyakarta,Madiun,01-01-2025,20:55,09:05:00,Bisnis,399509,-
JKA00948,MUTIARA SELATAN,KA96,Surabaya Gubeng,Cirebon,2024-03-17,23:05,7:25,EKONOMI,747910,NULL
JKA01102,Bengawan,KA76,Yogyakarta,Purwokerto,2025-03-15,11.45,14.55, Eksekutif,395061,Terlambat
JKA01375,  Taksaka  ,KA175,Yogyakarta,Madiun,23/04/2025,12:50:00,7:50,Ekonomi,302556,Terlambat
JKA00857,Bengawan,KA536,Kediri,Madiun,21 Jan 2024,15:35:00,03:50,eksekutif,254535,TERLAMBAT
JKA01756,Bima,KA401,Solo Balapan,Pasar Senen,07-06-2025,12:00,16.45,Eksekutif,247438,tepat waktu
JKA01054,Mutiara Selatan,KA931,Yogyakarta,Surabaya Pasarturi,2025-04-20,05:40,09:05,Bisnis,502526,Terlambat
JKA01956,JAYABAYA,KA849,Pasar Senen,Madiun,11 Jun 2025,22:05,05:25,Ekonomi,198795,-
JKA02499,Argo Bromo Anggrek,KA899,Gambir,Malang,25-02-2025,15:05:00,22.10,Bisnis,303983,Dibatalkan
JKA02916,Gajayana,KA371,Semarang Tawang,Purwokerto,02 Feb 2024,15:10,16:40,eksekutif,300737,tepat waktu
JKA00848,Kahuripan,KA783,Madiun,Cirebon,15/02/2025,13:15:00,21:55,Bisnis ,297823,-
JKA02752,Malabar,KA944,Semarang Tawang,Surabaya Gubeng,07 Mar 2025,18:15,13:15,Ekonomi,252289,Tepat Waktu
JKA02729,Gaya Baru Malam,KA198,Madiun,Jakarta Kota,2024-03-14,07:35:00,14:15,Eksekutif,47785,
JKA02149,Argo Parahyangan,KA428,Jakarta Kota,Yogyakarta,13 May 2025,17.25,12:10,Eksekutif,,Tepat Waktu
JKA02388,Tawang Jaya,KA707,Madiun,Yogyakarta,31 Jul 2025,17:50:00,20:35,Ekonomi,198016,TERLAMBAT
JKA02250,Mutiara Selatan,KA945,Semarang Tawang,Surabaya Gubeng,12/02/2025,15:35:00,13.25,EKONOMI,745746,Dibatalkan
JKA01161,Argo Bromo Anggrek,KA456,Malang,Solo Balapan,21 Apr 2025,17.35,0:20,Eksekutif,401901,TERLAMBAT
JKA01260,Malabar,KA92,Cirebon,Pasar Senen,21 Jun 2025,0:45,07:45,Bisnis ,151441,Dibatalkan
JKA02869,Progo,KA664,Cirebon,Jember,2024-08-15,17.35,19:45,Ekonomi,503674,
JKA00759,Bengawan,KA49,Cirebon,Gambir,23 Jan 2025,00:00,19.50, Eksekutif,99894,Terlambat
JKA00926,Tawang Jaya,KA460,Gambir,Yogyakarta,30/07/2025,10:20:00,21:40:00,Bisnis,398046,
JKA00357,Argo Parahyangan,KA583,Pasar Senen,Malang,21-12-2024,12:45,13:15,EKONOMI,302501,
JKA02562,Jayabaya,KA566,Pasar Senen,Purwokerto,2025-04-25,15:35:00,3:40,Ekonomi,296124,N/A
JKA02231,Serayu,KA588,Purwokerto,Madiun,22 Aug 2024,02:40,19.00,Bisnis ,752173,
JKA00135,Bengawan,KA958,Surabaya Gubeng,Yogyakarta,12/04/2024,21.15,17:55, Eksekutif,154432,Dibatalkan
JKA00046,Matarmaja,KA671,Gambir,Surabaya Pasarturi,2025-05-19,3:15,12.35,Bisnis ,501866,tepat waktu
JKA01055,Bengawan,KA592,Jakarta Kota,Solo Balapan,2024-07-11,07:40,01:50:00,Ekonomi,746821,
JKA01318,Bengawan,,Pasar Senen,Kediri,2025-07-15,22:45,02:20:00,Bisnis ,204975,Dibatalkan
JKA01169,Matarmaja,KA908,Bandung,Semarang Tawang,03-08-2024,20:10,15.40,Ekonomi,745948,-
JKA00957,,KA451,Solo Balapan,Gambir,2024-12-11,7:55,14:20:00,EKONOMI,499024,-
JKA01824,Malabar,KA797,Surabaya Gubeng,Jakarta Kota,15/08/2024,03:50:00,00.10,Eksekutif,747515,Tepat Waktu
JKA00132,Argo Bromo Anggrek,KA455,Surabaya Gubeng,Yogyakarta,21 Jul 2024,11:50,18.45, Eksekutif,70357,-
JKA01350,Tawang Jaya,KA23,Solo Balapan,Jember,2025-01-25,03:20:00,00:15:00,Eksekutif,78460,-
JKA00367,Lodaya,KA840,Purwokerto,Surabaya Gubeng,05 Oct 2024,02:25:00,12:10:00,eksekutif,303278,Terlambat
JKA00086,Gaya Baru Malam,KA810,Malang,Pasar Senen,17 May 2024,08:15,10:10:00,Bisnis ,,Dibatalkan
JKA01295,Serayu,KA653,Surabaya Pasarturi,Jakarta Kota,11-08-2024,21:00:00,22:15,eksekutif,77634,
JKA02423,PASUNDAN,KA265,Bandung,Yogyakarta,02/04/2024,11:25,1:05,Ekonomi,149136,-
JKA01152,SERAYU,KA441,Kediri,Cirebon,14-12-2024,04:40:00,06.20,Bisnis ,751585,tepat waktu
JKA01381,Sembrani,KA126,Surabaya Pasarturi,Solo Balapan,2025-03-13,09:45,06:35:00,Ekonomi,399525,TERLAMBAT
JKA00302,Jayabaya,KA539,Malang,Surabaya Gubeng,25/09/2024,01:30:00,19:20,Eksekutif,247787,-
JKA02872,Argo Bromo Anggrek,KA246,Gambir,Surabaya Pasarturi,31-08-2024,14:40,9:05,eksekutif,395391,Dibatalkan
JKA01717,Mutiara Selatan,KA806,Solo Balapan,Malang,2024-05-03,14.35,06:45:00,Bisnis,200172,TERLAMBAT
JKA02836,Pasundan,KA373,Pasar Senen,Cirebon,07/01/2025,14:10,14.35,Eksekutif,504138,tepat waktu
JKA01078,Turangga,KA893,Bandung,Kediri,2024-10-08,12:25,22:30:00,Ekonomi,102062,Terlambat
JKA02068,Joglosemarkerto,KA24,Jakarta Kota,Bandung,2024-05-14,12.30,16:05,Eksekutif,71053,-
JKA02629,Gajayana,KA845,Pasar Senen,Jember,08-04-2025,17:25,02:25:00,Ekonomi,295182,Terlambat
jka00423,Gajayana,KA940,Solo Balapan,Jakarta Kota,15/03/2024,12:35,11:35:00,Bisnis ,502616,Tepat Waktu
JKA01009,Brantas,KA148,Solo Balapan,Semarang Tawang,18-09-2024,3:10,08.20,Eksekutif,504645,Tepat Waktu
JKA00299,Argo Bromo Anggrek,KA964,Pasar Senen,Surabaya Pasarturi,2024-11-04,7:20,05.35, Eksekutif,295555,
JKA00101,Kahuripan,,Pasar Senen,Jember,13/02/2024,06:55:00,08:00,Bisnis ,Rp203.897,
JKA00752,Pasundan,KA249,Jember,Surabaya Pasarturi,2024-06-04,14:00,17:25,eksekutif,97618,
jka00509,Matarmaja,KA409,Pasar Senen,Bandung,10-07-2024,09:10:00,17:10,eksekutif,752478,-
JKA01013,Argo Parahyangan,,Gambir,Yogyakarta,13-09-2024,04:50,07.05,EKONOMI,747292,
JKA00441,Argo Parahyangan,KA175,Malang,Jakarta Kota,04-05-2024,19:05,07:00,Bisnis,75289,Terlambat
JKA02256,Gajayana,KA360,Surabaya Gubeng,Malang,23/12/2024,00.05,12:45,Ekonomi,296788,Tepat Waktu
JKA02199,SEMBRANI,KA758,Solo Balapan,Madiun,2024-05-08,16:00:00,22:55,Bisnis ,151698,Dibatalkan
JKA02044,,KA797,Jakarta Kota,Malang,04-03-2024,07.40,23:10:00,Eksekutif,253482,-
JKA00384,Tawang Jaya,KA231,Bandung,Kediri,19 Apr 2025,08:50:00,11:00,Eksekutif,71999,TERLAMBAT
JKA01176,Joglosemarkerto,KA261,Gambir,Madiun,25/07/2024,04:00,20:50:00, Eksekutif,204156,Terlambat
JKA00183,Tawang Jaya,KA165,Solo Balapan,Kediri,2024-12-04,15:50:00,15:15,Bisnis ,295367,TERLAMBAT
JKA01070,Sancaka,,Gambir,Surabaya Pasarturi,30 Mar 2024,14:40,3:25,EKONOMI,101653,
JKA00630,Brantas,KA363,Purwokerto,Cirebon,2024-03-02,03.25,9:30,Bisnis,154890,TERLAMBAT
JKA01144,Joglosemarkerto,KA710,Kediri,Pasar Senen,05 Apr 2024,12:40,2:15,N/A,398147,tepat waktu
JKA01528,Kahuripan,KA612,Semarang Tawang,Surabaya Gubeng,10 Apr 2025,1:05,8:45, Eksekutif,77064,-
JKA02195,Progo,KA577,Bandung,Madiun,2024-04-29,14:25,15:15,Ekonomi,498213,
JKA01459,Brantas,KA97,Surabaya Gubeng,Pasar Senen,01 Aug 2025,02.35,12:40,eksekutif,Rp304.914,TERLAMBAT
JKA00382,Joglosemarkerto,,Gambir,Jakarta Kota,07 Nov 2024,20:10,14:55:00,Ekonomi,98436,-
JKA02059,Mutiara Selatan,KA299,Solo Balapan,Gambir,2025-08-06,02:30,03.05, Eksekutif,,tepat waktu
JKA00872,Argo Parahyangan,KA321,Pasar Senen,Yogyakarta,2025-07-24,11:10:00,17:35,Eksekutif,204090,Tepat Waktu
JKA01972,Jayabaya,KA172,Surabaya Gubeng,Gambir,2025-04-10,01:40,13:45,Bisnis,154671,tepat waktu
JKA02832,Progo,KA168,Surabaya Gubeng,Malang,31/07/2024,12.55,6:35,Ekonomi,199488,Tepat Waktu
JKA02989,Taksaka,KA559,Gambir,Jakarta Kota,2024-06-23,11:15,16.00,Eksekutif,102520,tepat waktu
JKA01351,Sancaka,KA868,Surabaya Gubeng,Solo Balapan,02-06-2025,07:35:00,02:20,Bisnis,199467,N/A
JKA01615,Pasundan,KA975,Purwokerto,Solo Balapan,10 Mar 2025,12:15:00,20.55,eksekutif,103308,N/A
JKA01789,Kahuripan,KA510,Kediri,Gambir,05/04/2025,15:55:00,4:40,eksekutif,304368,TERLAMBAT
JKA02478,Gajayana,KA589,Kediri,Malang,2024-02-15,14.35,09:30,EKONOMI,149849,
JKA00627,Malabar,KA898,Purwokerto,Surabaya Gubeng,22-05-2024,06.50,22.40,Bisnis,404531,-
JKA01357,Tawang Jaya,KA641,Semarang Tawang,Malang,2025-02-18,23:55,01.20,EKONOMI,196472,Terlambat
JKA00017,Taksaka,KA447,Purwokerto,Jember,13-02-2025,00.05,05.45,Eksekutif,79774,Dibatalkan
JKA01914,Argo Bromo Anggrek,KA558,Pasar Senen,Jakarta Kota,2024-06-11,17:15:00,04:20:00,Ekonomi,500402,tepat waktu
JKA01780,Brantas,KA450,Solo Balapan,Semarang Tawang,30-06-2024,01:40,11.45,EKONOMI,50050,Tepat Waktu
JKA01403,Gajayana,KA649,Surabaya Gubeng,Jakarta Kota,05-09-2024,18:35,19:30:00,Eksekutif,70412,
JKA00041,Harina,KA262,Solo Balapan,Cirebon,03/07/2024,05:05:00,19:50,eksekutif,747344,tepat waktu
JKA00741,Sembrani,KA977,Surabaya Gubeng,Jember,13 Feb 2024,14:05,1:35,Ekonomi,70783,TERLAMBAT
JKA00760,Serayu,KA585,Solo Balapan,Gambir,30 Nov 2024,08:10,09:25:00, Eksekutif,253028,Tepat Waktu
JKA02553,Tawang Jaya,KA623,Jakarta Kota,Kediri,25-07-2024,07:35,05.05,eksekutif,145868,Tepat Waktu
JKA00728,Serayu,KA511,Bandung,Malang,19 Apr 2025,07:10:00,09:15,EKONOMI,249276,
JKA01182,,KA735,Purwokerto,Jember,27-02-2025,12:55,18.10, Eksekutif,498040,Terlambat
JKA00712,Pasundan,KA866,Bandung,Cirebon,06 Mar 2024,15:45:00,12:40, Eksekutif,754414,-
JKA00169,Mutiara Selatan,KA713,Gambir,Madiun,29/10/2024,17.00,14:05,Bisnis ,501371,
JKA02102,Bengawan,KA794,Yogyakarta,Purwokerto,04 Jan 2024,04:15,18:55,EKONOMI,201547,Tepat Waktu
JKA01601,  Malabar  ,KA161,Yogyakarta,Kediri,2025-03-08,12.35,22.05,Bisnis ,74865,tepat waktu
JKA00316,Kaligung,KA911,Malang,Solo Balapan,12 May 2025,07:55,16:00:00,EKONOMI,254064,tepat waktu
JKA00800,Kertajaya,KA56,Pasar Senen,Cirebon,06/05/2025,16.20,09:00,EKONOMI,97754,Tepat Waktu
JKA00972,Kahuripan,,Semarang Tawang,Solo Balapan,07/06/2024,06:25:00,12:40:00,Bisnis ,402388,
JKA02983,Mutiara Selatan,KA168,Bandung,Jember,2025-06-07,21:50:00,21.45,Eksekutif,146380,null
JKA01908,Sancaka,KA463,Surabaya Pasarturi,Madiun,2025-01-21,17:35,13:15,Ekonomi,748197,Terlambat
JKA02977,Brantas,KA580,Gambir,Semarang Tawang,26 Aug 2024,15:55:00,14:35,Bisnis ,152877,tepat waktu
JKA00925,Turangga,KA17,Bandung,Semarang Tawang,28-01-2025,20:35,15:50,Bisnis,77973,TERLAMBAT
JKA00535,Argo Bromo Anggrek,KA219,Malang,Yogyakarta,2024-07-02,13.50,03.35,Bisnis ,497992,Terlambat
JKA00431,Bima,KA440,Jember,Jakarta Kota,21-11-2024,05:45:00,07:40:00,Bisnis,751444,TERLAMBAT
JKA01840,Gaya Baru Malam,KA871,Surabaya Pasarturi,Surabaya Gubeng,13-11-2024,21.30,04.30,Eksekutif,248153,-
JKA02690,Joglosemarkerto,KA711,Surabaya Pasarturi,Gambir,29-01-2024,16.55,05:20,Ekonomi,149601,-
JKA01398,Bengawan,KA532,Malang,Cirebon,2025-08-02,16:05,01:50:00,Bisnis,197664,tepat waktu
JKA01083,Kertajaya,KA51,Solo Balapan,Surabaya Gubeng,20/02/2025,21:10:00,06:00,Eksekutif,,
JKA02346,Sancaka,KA183,Gambir,Pasar Senen,2024-01-14,06.35,06.35,eksekutif,70282,
JKA01637,Sancaka,KA194,Purwokerto,Malang,26/01/2024,21.40,20:20:00,EKONOMI,398037,
JKA02269,Gajayana,KA330,Yogyakarta,Solo Balapan,24/08/2024,13:55,03.20,Ekonomi,152779,Dibatalkan
JKA01803,Serayu,KA643,Kediri,Gambir,06-11-2024,01.05,23:15,Bisnis ,79374,
JKA00821,,KA108,Semarang Tawang,Purwokerto,20 Feb 2024,07:50:00,07:05,EKONOMI,49449,Dibatalkan
JKA00612,Pasundan,KA786,Jember,Yogyakarta,17-01-2025,23:40,10.55,eksekutif,104506,Dibatalkan
JKA01277,Bengawan,KA874,Gambir,Yogyakarta,23-11-2024,21:45:00,14:15:00, Eksekutif,748204,tepat waktu
JKA02862,Joglosemarkerto,KA773,Jember,Malang,30 Apr 2025,1:05,03:00:00,Bisnis,200956,Dibatalkan
JKA01088,Pasundan,KA819,Kediri,Pasar Senen,15 Apr 2024,19:40,15:55,eksekutif,71748,tepat waktu
JKA00405,Serayu,KA648,Jember,Surabaya Gubeng,2024-10-25,20.10,04:20,Bisnis ,Rp148.440,Dibatalkan
JKA01655,Matarmaja,KA236,Bandung,Malang,18/11/2024,08:50,7:25,eksekutif,299384,TERLAMBAT
JKA00864,Kaligung,KA865,Bandung,Cirebon,30/12/2024,00:25:00,09.05, Eksekutif,748138,-
JKA01925,Sancaka,KA852,Surabaya Gubeng,Pasar Senen,23-01-2024,09:15,21:10, Eksekutif,149500,
JKA01573,Bengawan,KA707,Pasar Senen,Gambir,27 Mar 2024,5:35,14:50:00,Bisnis,Rp103.986,
JKA00545,Taksaka,KA520,Cirebon,Madiun,2025-06-12,05:15,15.55,-,251801,
JKA02287,Mutiara Selatan,KA980,Madiun,Bandung,10 Jul 2024,08.50,09:15:00,eksekutif,303350,TERLAMBAT
JKA02111,Bima,KA707,Jember,Solo Balapan,22/06/2024,02:45,20:30:00,EKONOMI,400136,
JKA02607,Progo,KA393,Cirebon,Pasar Senen,02 Apr 2024,22.50,19:35, Eksekutif,752386,-
JKA01520,Kahuripan,KA200,Kediri,Pasar Senen,17/12/2024,15.05,11:35,Eksekutif,50834,
JKA02765,Progo,KA154,Jember,Surabaya Gubeng,2024-09-06,0:05,12.10,Eksekutif,498128,-
JKA02590,Bengawan,KA262,Kediri,Surabaya Pasarturi,22 Jul 2024,18.30,22:50:00,Bisnis ,398489,Terlambat
JKA01813,Sembrani,KA881,Cirebon,Bandung,2024-11-21,12:35:00,02:30:00,Bisnis,751649,TERLAMBAT
JKA01401,Bengawan,KA406,Yogyakarta,Gambir,28-04-2025,6:05,22.30,EKONOMI,146683,
JKA02224,Joglosemarkerto,KA617,Surabaya Pasarturi,Solo Balapan,14-12-2024,23:45,21:40:00,EKONOMI,204847,
jka02887,Matarmaja,KA854,Cirebon,Malang,11-06-2025,18:35,9:50,Bisnis ,54529,tepat waktu
JKA01804,Tawang Jaya,KA174,Kediri,Malang,11 May 2025,13.00,08.40,eksekutif,Rp100.190,Dibatalkan
JKA01531,Kaligung,KA653,Semarang Tawang,Pasar Senen,17/05/2025,13:50,22:15,Bisnis,196198,
JKA02917,Brantas,KA97,Bandung,Malang,18 May 2024,14:25,21.45,Ekonomi,146533,tepat waktu
JKA01346,Mutiara Selatan,KA505,Kediri,Solo Balapan,11 Dec 2024,9:20,19:50,Bisnis,Rp400.489,TERLAMBAT
JKA00751,Serayu,KA949,Surabaya Pasarturi,Purwokerto,20/07/2025,10:55:00,11:05:00,EKONOMI,Rp297.977,TERLAMBAT
JKA01545,,KA94,Solo Balapan,Surabaya Gubeng,29/08/2024,21:25,16.10,Bisnis,101279,TERLAMBAT
JKA01377,Turangga,KA725,Cirebon,Semarang Tawang,2024-10-13,15:30,19:50,EKONOMI,153120,
jka00442,Tawang Jaya,KA883,Kediri,Gambir,2024-04-23,09.05,10:55:00,Ekonomi,97257,Dibatalkan
JKA01011,Lodaya,KA917,Jakarta Kota,Surabaya Pasarturi,11/03/2024,08:50,18:30, Eksekutif,752792,
JKA02210,Harina,KA559,Semarang Tawang,Bandung,31-07-2024,21.30,01:40:00,Ekonomi,304218,Terlambat
JKA00718,Matarmaja,KA37,Jember,Bandung,31 Aug 2024,14:25,00.45, Eksekutif,96787,Tepat Waktu
JKA00635,Joglosemarkerto,KA320,Yogyakarta,Bandung,2025-07-20,08.05,14.10,Bisnis,299563,tepat waktu
JKA02536,Sembrani,KA237,Madiun,Surabaya Pasarturi,2025-08-21,22:50,09.25,eksekutif,201893,Terlambat
JKA00435,Argo Parahyangan,KA374,Semarang Tawang,Malang,2025-07-13,05.40,03:15,EKONOMI,53486,
JKA00422,Gajayana,KA44,Semarang Tawang,Jakarta Kota,20 Oct 2024,13:45,14.25,Ekonomi,76769,-
JKA02223,Taksaka,KA869,Malang,Gambir,2025-05-16,0:10,20:35:00, Eksekutif,99532,NaN
JKA00411,Taksaka,KA678,Yogyakarta,Solo Balapan,27-06-2025,19:10:00,04.50,EKONOMI,200707,tepat waktu
JKA00651,Gaya Baru Malam,KA152,Madiun,Jakarta Kota,27 Nov 2024,04:25:00,21:25,Eksekutif,99105,Dibatalkan
JKA02893,TAWANG JAYA,KA114,Madiun,Bandung,21 Mar 2025,08:30:00,16:00, Eksekutif,304089,Dibatalkan
JKA01825,Gaya Baru Malam,KA199,Yogyakarta,Solo Balapan,13/02/2024,14:25:00,23:40:00,eksekutif,151771,tepat waktu
JKA00326,Taksaka,KA706,Malang,Surabaya Gubeng,2025-04-01,11:50:00,18:40:00, Eksekutif,204573,tepat waktu
JKA02669,Gajayana,KA755,Surabaya Gubeng,Kediri,2024-07-17,02.30,22:20:00,eksekutif,252351,Dibatalkan
JKA01694,Progo,KA160,Surabaya Pasarturi,Pasar Senen,07 Feb 2025,11:55,19:20, Eksekutif,50657,tepat waktu
JKA00486,Taksaka,KA690,Pasar Senen,Gambir,2025-03-19,22.40,06:40,Bisnis ,49029,Terlambat
JKA02547,Jayabaya,KA446,Purwokerto,Jember,2025-07-02,15:15,15.05,eksekutif,150712,Dibatalkan
JKA01945,Sancaka,KA414,Surabaya Gubeng,Cirebon,01/04/2025,00:50,17:45:00, Eksekutif,254642,Dibatalkan
JKA02305,Kertajaya,KA525,Madiun,Surabaya Pasarturi,27-02-2025,22:40,20:00:00,Bisnis,500071,Tepat Waktu
JKA02095,Harina,KA200,Purwokerto,Surabaya Pasarturi,07/01/2025,13:30,15:45,Bisnis,195780,
JKA00008,Turangga,KA647,Purwokerto,Semarang Tawang,24 Mar 2025,3:15,02:25,EKONOMI,Rp498.770,
JKA02100,Tawang Jaya,KA955,Pasar Senen,Yogyakarta,14-04-2024,11:15,10:00,eksekutif,754477,TERLAMBAT
JKA00915,MALABAR,KA776,Surabaya Pasarturi,Pasar Senen,2025-05-01,07:05:00,23:05:00, Eksekutif,501798,-
JKA02225,KERTAJAYA,KA147,Purwokerto,Surabaya Gubeng,26-04-2025,11:55:00,17.25,Ekonomi,401332,NaN
JKA00699,PASUNDAN,KA75,Kediri,Jakarta Kota,30 May 2024,18:25,13.50,Eksekutif,501265,-
JKA02530,Argo Bromo Anggrek,KA969,Jakarta Kota,Surabaya Pasarturi,27-05-2024,01:25:00,06:05,eksekutif,101943,Tepat Waktu
JKA01711,Malabar,KA162,Kediri,Madiun,2025-02-03,13.15,05:25:00,Ekonomi,402810,-
